t_markovian,D_markovian,D_nonmarkovian,choi_eigenvalues,r_potential,V_yukawa,V_diss_t1,V_diss_t2,R_correlator,C_data,C_error,R_fine,C_fit
0.0,1.0,0.0,0.0005560420375935475,0.1,-9.543736667478749,-10.476083868859176,-9.543736667478749,1.0,0.6396269182326215,0.02566230042564594,0.0,0.995960423071118
0.04008016032064128,0.9905114333225647,0.9902162197741693,0.0006999409181650647,0.10990990990990991,-8.643143275115506,-9.48555808703819,-8.643143275115506,1.4827586206896552,0.4977782148441547,0.01859742267816791,0.08040201005025126,0.9592726625626502
0.08016032064128256,0.9807691505944689,0.9801893597084256,0.001674994755847062,0.11981981981981983,-7.891690024651457,-8.659085719914875,-7.891690024651457,1.9655172413793105,0.4080874218086751,0.013477518559668578,0.16080402010050251,0.9239363531158382
0.12024048096192384,0.9707820825870075,0.9699281440672692,0.002082230799913862,0.12972972972972974,-7.2551982427572135,-7.959070231211954,-7.2551982427572135,2.4482758620689653,0.33362670502674313,0.0097671333103295,0.24120603015075376,0.8899017119162846
0.16032064128256512,0.9605591006484554,0.9594412404979523,0.0025770773990113727,0.13963963963963966,-6.70919159228379,-7.358587654424339,-6.70919159228379,2.931034482758621,0.25275643550859217,0.007078223834706699,0.32160804020100503,0.8571207899774529
0.2004008016032064,0.9501090139577375,0.9487372572281386,0.0031956681293053824,0.14954954954954958,-6.2356814427918605,-6.837850500401482,-6.2356814427918605,3.413793103448276,0.20186149419665259,0.005129576003761932,0.4020100502512563,0.8255474045887484
0.24048096192384769,0.9394405668559969,0.937824740343743,0.0035016721443479086,0.15945945945945947,-5.821150916476926,-6.381990207865209,-5.821150916476926,3.896551724137931,0.1679465995422272,0.003717394447085967,0.4824120603015075,0.7951370742519812
0.280561122244489,0.928562436255767,0.9267121711465724,0.003760747776552253,0.1693693693693694,-5.4552466626527325,-5.979618095341641,-5.4552466626527325,4.379310344827586,0.13142980640505927,0.0026939890285456298,0.5628140703517588,0.7658469560145444
0.32064128256513025,0.9174832291274367,0.9154079635913775,0.004165275979434521,0.17927927927927928,-5.129904516074406,-5.621863585316796,-5.129904516074406,4.862068965517242,0.10233506707209525,0.0019523289737556307,0.6432160804020101,0.7376357851110252
0.3607214428857715,0.9062114800626657,0.9039204618018909,0.004630496568683196,0.1891891891891892,-4.838749948360081,-5.301714700800536,-4.838749948360081,5.344827586206897,0.08317879504577554,0.0014148492742093422,0.7236180904522613,0.7104638168282086
0.4008016032064128,0.8947556489143768,0.8922579376654065,0.0047586849756408554,0.19909909909909912,-4.5766775701192355,-5.01355551766789,-4.5766775701192355,5.827586206896552,0.06530199034715072,0.001025338708609087,0.8040201005025126,0.6842927705115781
0.4408817635270541,0.8831241185129323,0.8804285885054283,0.005287408738039248,0.20900900900900904,-4.339550257475596,-4.752835203834404,-4.339550257475596,6.310344827586207,0.05215451576949774,0.0007430611066042046,0.8844221105527639,0.6590857756344212
0.48096192384769537,0.8713251924580707,0.8684405348318955,0.005986176860868068,0.21891891891891893,-4.123979997312262,-4.515826949025926,-4.123979997312262,6.793103448275862,0.042034072590777655,0.0005384950392606023,0.964824120603015,0.6348073198535665
0.5210420841683366,0.859367092986158,0.856301818168467,0.0065691065804782895,0.22882882882882885,-3.9271656782405637,-4.2994495348445065,-3.9271656782405637,7.275862068965518,0.03269919862969424,0.0003902463804537883,1.0452261306532664,0.6114231989785677
0.561122244488978,0.8472579589122787,0.8440203989563219,0.006728693087930424,0.23873873873873877,-3.7467712807993725,-4.101133343987786,-3.7467712807993725,7.758620689655173,0.026207258216943672,0.0002828108456976552,1.1256281407035176,0.5889004687838508
0.6012024048096192,0.8350058436466774,0.8316041545339203,0.007695226551379636,0.24864864864864866,-3.580833196085034,-3.9187184107420734,-3.580833196085034,8.24137931034483,0.021191661534756167,0.00020495250808276,1.206030150753769,0.5672073985959366
0.6412825651302605,0.822618713285027,0.8190608771921385,0.007749886881130902,0.2585585585585586,-3.4276888578671385,-3.75037591630984,-3.4276888578671385,8.724137931034484,0.016855848518556493,0.00014852871171115094,1.2864321608040201,0.5463134265903513
0.6813627254509018,0.8101044447719851,0.8063982723041722,0.008012727855017637,0.2684684684684685,-3.2859211810142566,-3.5945470710781766,-3.2859211810142566,9.206896551724139,0.013607531791143084,0.000107638488589103,1.3668341708542713,0.5261891167352438
0.721442885771543,0.7974708241374786,0.7936239565295937,0.009267845895311563,0.2783783783783784,-3.1543148674404202,-3.4498950511600723,-3.1543148674404202,9.689655172413794,0.010763136443051,7.800541789036883e-05,1.4472361809045227,0.5068061173210529
0.7615230460921844,0.7847255448051276,0.7807454560919099,0.009465215881162097,0.28828828828828834,-3.031821723950172,-3.3152668480241108,-3.031821723950172,10.172413793103448,0.00856738327326314,5.6530385181078143e-05,1.5276381909547738,0.4881371210177996
0.8016032064128256,0.7718762059722097,0.7677702051289675,0.009774914047494074,0.29819819819819826,-2.917532895558649,-3.1896627251467073,-2.917532895558649,10.655172413793103,0.0069618957832165975,4.096746783937973e-05,1.6080402010050252,0.4701558264037311
0.8416833667334669,0.7589303110605388,0.7547055441155229,0.010280031500250624,0.3081081081081081,-2.8106564572937858,-3.072211568994683,-2.8106564572937858,11.13793103448276,0.005502067566885259,2.9689049805596943e-05,1.6884422110552764,0.45283690091111733
0.8817635270541082,0.7458952662376143,0.7415587183572805,0.011419043519186585,0.31801801801801804,-2.710499195633258,-2.962150848606036,-2.710499195633258,11.620689655172415,0.004398324166810136,2.151560066673047e-05,1.7688442211055277,0.4361559451369966
0.9218436873747494,0.7327783790073814,0.7283368765556841,0.011661516012385085,0.32792792792792796,-2.616451693307281,-2.858810208873169,-2.616451693307281,12.10344827586207,0.0034871843535373604,1.559231686704042e-05,1.849246231155779,0.42008945846859214
0.9619238476953907,0.719586856869922,0.7150470694427354,0.012046728503699642,0.33783783783783783,-2.527976039176143,-2.761597951408315,-2.527976039176143,12.586206896551724,0.0027949050999343003,1.129972381659462e-05,1.92964824120603,0.40461480597496885
1.002004008016032,0.7063278060493778,0.7016962484850874,0.012317310460444967,0.34774774774774775,-2.4445956395276616,-2.66998982697088,-2.4445956395276616,13.068965517241379,0.0022365949282647226,8.188889401113821e-06,2.0100502512562812,0.38971018651828804
1.0420841683366733,0.6930082302893952,0.6882912646566562,0.01273953936155019,0.35765765765765767,-2.3658867232143885,-2.5835196911185085,-2.3658867232143885,13.551724137931036,0.0017776013687669674,5.934473329798905e-06,2.090452261306533,0.37535460203973453
1.0821643286573146,0.6796350297153603,0.6748388672789757,0.012770339154564683,0.3675675675675676,-2.2914712209598114,-2.501771671444045,-2.2914712209598114,14.03448275862069,0.0014258749820685453,4.300702082666338e-06,2.170854271356784,0.3615278279768442
1.122244488977956,0.6662149997626796,0.6613457029285007,0.013017523395444864,0.3774774774774775,-2.221010766301317,-2.424373568612928,-2.221010766301317,14.517241379310345,0.0011349123598925687,3.1167110164563423e-06,2.251256281407035,0.3482103847705554
1.1623246492985972,0.6527548301703464,0.6478183144100613,0.014796741343927895,0.3873873873873874,-2.1542016173186664,-2.3509912702646547,-2.1542016173186664,15.0,0.0009066750939457745,2.2586748334071833e-06,2.3316582914572863,0.3353835104218431
1.2024048096192383,0.6392611040390195,0.6342631397956475,0.015025752872733868,0.39729729729729735,-2.090770338375923,-2.281324000929035,-2.090770338375923,,,,2.412060301507538,0.32302913405927225
1.2424849699398797,0.6257402969528252,0.6206865115276993,0.015192114782062886,0.40720720720720727,-2.0304701124055065,-2.215100265538789,-2.0304701124055065,,,,2.492462311557789,0.31112985048023184
1.282565130260521,0.612198776164084,0.6070946555860596,0.015655386098546976,0.4171171171171172,-1.9730775788709964,-2.15207437118876,-1.9730775788709964,,,,2.5728643216080402,0.29966889562998167
1.3226452905811623,0.598642799840147,0.593493690717741,0.016961929191460518,0.4270270270270271,-1.9183901120136173,-2.09202343320719,-1.9183901120136173,,,,2.6532663316582914,0.28863012298396784
1.3627254509018036,0.5850785163715161,0.5798896277286419,0.01696478704623463,0.436936936936937,-1.8662234694816913,-2.0347447886482444,-1.8662234694816913,,,,2.7336683417085426,0.27799798080013205
1.4028056112224447,0.5715119637404164,0.5662883688363431,0.017583135850006287,0.44684684684684695,-1.8164097538440984,-1.9800537539569523,-1.8164097538440984,,,,2.814070351758794,0.26775749020916745
1.442885771543086,0.5579490689489668,0.5526957070831005,0.018698425197741644,0.45675675675675675,-1.768795639468861,-1.9277816745357823,-1.768795639468861,,,,2.8944723618090453,0.257894224111855
1.4829659318637274,0.544395647506099,0.5391173258081464,0.019162722253913377,0.4666666666666667,-1.723240825320691,-1.8777742228220726,-1.723240825320691,,,,2.9748743718592965,0.24839428685374842
1.5230460921843687,0.530857402972351,0.5255587981783969,0.020070198874966336,0.4765765765765766,-1.67961668079327,-1.8298899087036722,-1.67961668079327,,,,3.0552763819095476,0.23924429464857494
1.56312625250501,0.5173399265616654,0.512025586776663,0.020263442283225706,0.4864864864864865,-1.6378050570509248,-1.7839987719949082,-1.6378050570509248,,,,3.1356783919597992,0.23043135672276996
1.6032064128256511,0.5038486967993052,0.4985230432464473,0.020441159950790575,0.49639639639639643,-1.597697240750452,-1.7399812315307261,-1.597697240750452,,,,3.2160804020100504,0.22194305715458257
1.6432865731462925,0.49038907923499314,0.485056407992406,0.020645510660755654,0.5063063063063064,-1.5591930306354809,-1.6977270694206135,-1.5591930306354809,,,,3.2964824120603016,0.21376743738216608
1.6833667334669338,0.4769663262103804,0.47163080993555195,0.020651847635863908,0.5162162162162163,-1.5221999204917105,-1.6571345322994881,-1.5221999204917105,,,,3.3768844221105527,0.20589297935601042
1.723446893787575,0.4635855766799324,0.45825126632226026,0.021815769463126748,0.5261261261261262,-1.4866323744394119,-1.6181095341495764,-1.4866323744394119,,,,3.457286432160804,0.19830858931198067
1.7635270541082164,0.45025185608432233,0.44492268258614165,0.022156244050588598,0.5360360360360361,-1.452411182613669,-1.5805649475488037,-1.452411182613669,,,,3.5376884422110555,0.19100358214210186
1.8036072144288577,0.43697007627541246,0.4316498522618383,0.02227588621286903,0.545945945945946,-1.4194628870180708,-1.5444199721099798,-1.4194628870180708,,,,3.6180904522613067,0.18396766634106956
1.8436873747494988,0.4237450354918989,0.41843745694979356,0.0238710625248947,0.555855855855856,-1.3877192687943933,-1.5095995704775722,-1.3877192687943933,,,,3.698492462311558,0.1771909295072798
1.8837675350701402,0.4105814183846918,0.40529006633104525,0.02511903382758245,0.5657657657657659,-1.357116889377963,-1.4760339635987303,-1.357116889377963,,,,3.778894472361809,0.1706638243779511
1.9238476953907815,0.39748379609109746,0.3922121382310858,0.025684714705495767,0.5756756756756757,-1.3275966790454417,-1.4436581781259685,-1.3275966790454417,,,,3.85929648241206,0.16437715537866457
1.9639278557114228,0.3844566263568637,0.37920801873183,0.025870974613938138,0.5855855855855856,-1.2991035672408437,-1.4124116397759094,-1.2991035672408437,,,,3.9396984924623117,0.1583220656683729
